date, pm25, pm10, o3, no2, so2, co
2023/12/10, 113, 38, 32, 12, 2, 4
2023/12/11, 96, 23, 15, 9, 1, 4
2023/12/12, 50, 31, 10, 14, 2, 5
2023/12/13, 73, 46, 22, 18, 3, 6
2023/12/14, 102, 39, 24, 14, 1, 5
2023/12/15, 79, 22, 14, 6, 1, 5
2023/12/16, 41, 17, 10, 8, 1, 
2023/12/17, 52, 33, 10, 9, 1, 5
2023/12/18, 75, 17, 9, 6, 3, 5
2023/12/19, 40, 14, 11, 5, 3, 5
2023/12/20, 37, 17, 24, 5, 3, 4
2023/12/21, 50, 39, 28, 10, 2, 4
2023/12/22, 86, 35, 19, 11, 3, 3
2023/12/23, 84, 43, 22, 14, 4, 4
2023/12/24, 92, 40, 21, 17, 4, 4
2023/12/25, 77, 40, 24, 18, 4, 4
2023/12/26, 87, 50, 20, 20, 3, 5
2023/12/27, 100, 50, 33, 19, 6, 5
2023/12/28, 97, 46, 28, 18, 5, 4
2023/12/29, 79, 52, 27, 21, 3, 5
2023/12/30, 116, 46, 26, 15, 3, 5
2023/12/31, 108, 56, , 15, 4, 6
2023/7/1, 55, 15, 17, 6, , 4
2023/7/2, 28, 18, 22, 5, , 4
2023/7/3, 22, 21, 22, 5, , 4
2023/7/4, 40, 16, 24, 5, 1, 4
2023/7/5, 37, 18, 24, 4, 1, 4
2023/7/6, 44, 20, 20, 6, 1, 4
2023/7/7, 46, 25, 22, 5, 1, 4
2023/7/8, 61, 22, 30, 6, 1, 4
2023/7/9, 51, 23, 39, 5, 1, 4
2023/7/10, 52, 21, 31, 5, 1, 4
2023/7/11, 47, 20, 30, 5, 1, 4
2023/7/12, 42, 23, 33, 5, 1, 4
2023/7/13, 58, 26, 35, 7, 1, 4
2023/7/14, 58, 37, 69, 9, 2, 5
2023/7/15, 86, 22, 28, 4, , 4
2023/7/16, 48, 13, 20, 2, , 3
2023/7/17, 24, 14, 15, 3, , 4
2023/7/18, 24, 12, 17, 3, , 4
2023/7/19, 20, 19, 27, 4, 1, 4
2023/7/20, 39, 24, 24, 6, 1, 5
2023/7/21, 51, 17, 26, 6, , 4
2023/7/22, 37, 21, 25, 5, , 4
2023/7/23, 43, 19, 23, 5, 1, 5
2023/7/24, 41, 24, 42, 6, , 5
2023/7/25, 51, 19, 24, 5, 1, 5
2023/7/26, 41, 17, 22, 5, , 5
2023/7/27, 30, 16, 20, 3, , 4
2023/7/28, 39, 23, 31, 6, , 5
2023/7/29, 44, 18, 19, 6, 1, 5
2023/7/30, 42, 20, 20, 4, 2, 5
2023/7/31, 43, 20, 19, 4, 2, 5
2023/8/1, 32, 21, 37, 4, 2, 5
2023/8/2, 43, 23, 36, 4, 2, 6
2023/8/3, 57, 26, 46, 3, 2, 6
2023/8/4, 62, 21, 33, 4, 2, 5
2023/8/5, 52, 24, 26, 4, 2, 5
2023/8/6, 51, 23, 35, 4, 2, 4
2023/8/7, 53, 22, 38, 4, 2, 5
2023/8/8, 51, 25, 52, 5, 2, 5
2023/8/9, 54, 21, 40, 6, 2, 5
2023/8/10, 43, 16, 31, 4, 2, 5
2023/8/11, 36, 20, 23, 7, 2, 5
2023/8/12, 49, 23, 15, 5, 4, 5
2023/8/13, 51, 21, 26, 4, 3, 4
2023/8/14, 49, 24, 25, 5, 3, 5
2023/8/15, 53, 26, 34, 6, 3, 5
2023/8/16, 49, 23, 36, 5, 3, 5
2023/8/17, 45, 23, 40, 5, 3, 6
2023/8/18, 54, 25, 45, 6, 3, 5
2023/8/19, 60, 18, 30, 4, 3, 4
2023/8/20, 38, 20, 28, 5, 3, 3
2023/8/21, 38, 20, 23, 5, 4, 4
2023/8/22, 42, 15, 21, 5, 3, 3
2023/8/23, 26, 16, 28, 3, 3, 3
2023/8/24, 32, 22, 33, 5, 5, 3
2023/8/25, 47, 20, 26, 5, 3, 3
2023/8/26, 46, 18, 34, 6, 3, 3
2023/8/27, 38, 20, 31, 4, 3, 3
2023/8/28, 40, 17, 27, 5, 3, 4
2023/8/29, 32, 15, 26, 5, 3, 5
2023/8/30, 40, 12, 22, 4, 4, 4
2023/8/31, 27, 11, 17, 3, 3, 4
2023/9/1, 23, 16, 17, 4, 4, 4
2023/9/2, 31, 23, 23, 5, 3, 4
2023/9/3, 44, 21, 18, 5, 4, 4
2023/9/4, 47, 15, 12, 6, 3, 4
2023/9/5, 38, 7, 30, 4, 3, 4
2023/9/6, 18, 14, 21, 5, 3, 4
2023/9/7, 29, 18, 12, 4, 3, 4
2023/9/8, 43, 20, 28, 4, 3, 4
2023/9/9, 39, 21, 32, 6, 3, 3
2023/9/10, 39, 23, 21, 6, 3, 4
2023/9/11, 53, 22, 21, 6, 3, 3
2023/9/12, 51, 24, 21, 7, 4, 3
2023/9/13, 49, 22, 21, 7, 4, 4
2023/9/14, 41, 14, 16, 7, 3, 4
2023/9/15, 33, 22, 25, 5, 3, 3
2023/9/16, 51, 24, 29, 5, 4, 3
2023/9/17, 55, 28, 36, 7, 4, 4
2023/9/18, 58, 34, 44, 9, 4, 5
2023/9/19, 72, 36, 40, 9, 4, 5
2023/9/20, 75, 32, 44, 10, 4, 4
2023/9/21, 69, 35, 48, 8, 3, 5
2023/9/22, 71, 18, 26, 5, 4, 4
2023/9/23, 41, 28, 30, 8, 4, 4
2023/9/24, 53, 24, 27, 6, 3, 3
2023/9/25, 47, 26, 26, 9, 4, 5
2023/9/26, 56, 27, 36, 9, 5, 4
2023/9/27, 58, 26, 37, 7, 4, 4
2023/9/28, 55, 21, 30, 6, 4, 4
2023/9/29, 50, 23, 38, 5, 4, 5
2023/9/30, 62, 27, 43, 5, 3, 5
2023/4/1, 44, 33, 22, 10, 3, 6
